sapnumber;price;pseudoprice;store;promotion;promotionstart;promotionend
4448;1,69;0,00;1031;;;
5099;0,69;0,00;1031;;;
65778;0,99;0,00;1031;;;
67677;1,64;0,00;1031;;;
68597;5,99;0,00;1031;;;
82078;0,99;0,00;1031;;;
123116;1,09;1,00;1031;Faltblatt;2020-11-02;2021-12-08
149139;0,99;0,00;1031;;;
172582;2,25;0,00;1031;;;
191361;2,59;2,00;1031;Faltblatt;2020-11-02;2021-12-08
276037;5,39;0,00;1031;;;
279722;1,59;0,00;1031;;;
449177;1,99;0,00;1031;;;
498547;1,12;0,00;1031;;;
729507;1,29;1,10;1031;Faltblatt;2020-11-02;2021-12-08
748667;3,99;0,00;1031;;;
788065;2,29;0,00;1031;;;
837703;3,29;0,00;1031;;;
876233;16,99;0,00;1031;;;
971805;1,99;0,00;1031;;;
1049292;0,89;0,00;1031;;;
1062437;0,99;0,00;1031;;;
1063623;2,99;0,00;1031;;;
1301592;0,99;0,00;1031;;;
1446594;1,99;0,00;1031;;;
1497986;4,29;0,00;1031;;;
1529898;1,99;0,00;1031;;;
1562556;2,79;0,00;1031;;;
1575574;3,99;0,00;1031;;;
1739610;1,89;0,00;1031;;;
1904361;2,49;0,00;1031;;;
1941257;0,69;0,00;1031;;;
1941260;0,69;0,00;1031;;;
2055127;0,59;0,00;1031;;;
2094415;0,39;0,00;1031;;;
2109924;2,69;0,00;1031;;;
2204916;1,79;0,00;1031;;;
2210484;2,49;0,00;1031;;;
2263995;1,89;0,00;1031;;;
2422489;0,33;0,00;1031;;;
2530276;0,99;0,00;1031;;;
2531519;1,49;0,00;1031;;;
2589654;12,99;0,00;1031;;;
2592321;2,19;0,00;1031;;;
2697175;1,39;0,00;1031;;;
2702057;1,15;0,00;1031;;;
2702676;0,00;0,00;1031;;;
3147289;2,79;0,00;1031;;;
3328512;4,99;0,00;1031;;;
3341436;0,00;0,00;1031;;;
3385770;0,00;0,00;1031;;;
3390302;2,49;0,00;1031;;;
3397924;9,75;0,00;1031;;;
3400157;1,79;0,00;1031;;;
3424251;0,35;0,00;1031;;;
3563432;1,49;0,00;1031;;;
3582511;4,09;0,00;1031;;;
3601137;0,75;0,00;1031;;;
3630390;3,79;0,00;1031;;;
3674214;0,00;0,00;1031;;;
3702828;0,69;0,00;1031;;;
3952943;0,75;0,00;1031;;;
3958661;1,45;0,00;1031;;;
3997698;1,69;0,00;1031;;;
4055862;1,19;0,00;1031;;;
4094085;0,00;0,00;1031;;;
4183862;1,09;0,00;1031;;;
4185127;39,99;0,00;1031;;;
4229800;1,65;0,00;1031;;;
4253377;2,95;0,00;1031;;;
4291582;1,79;0,00;1031;;;
4396852;1,45;0,00;1031;;;
4414567;2,99;0,00;1031;;;
4414931;0,00;0,00;1031;;;
4454835;2,99;0,00;1031;;;
4496685;7,85;0,00;1031;;;
4536359;14,49;0,00;1031;;;
4655101;1,19;0,00;1031;;;
4658335;12,99;0,00;1031;;;
4797249;1,35;0,00;1031;;;
4886829;0,99;0,00;1031;;;
4925673;0,45;0,00;1031;;;
4999348;0,89;0,00;1031;;;
5080028;1,59;0,00;1031;;;
5126283;1,99;0,00;1031;;;
5149868;22,45;0,00;1031;;;
5316089;0,99;0,00;1031;;;
5390220;1,79;0,00;1031;;;
5409695;3,29;0,00;1031;;;
5419322;1,29;0,00;1031;;;
5451718;1,29;0,00;1031;;;
5459252;1,29;0,00;1031;;;
5473059;4,29;0,00;1031;;;
5546852;1,09;0,00;1031;;;
5586995;0,79;0,00;1031;;;
5595903;1,79;0,00;1031;;;
5608213;0,00;0,00;1031;;;
5624301;2,89;0,00;1031;;;
5641179;1,95;0,00;1031;;;
5660467;2,29;0,00;1031;;;
5835560;0,95;0,00;1031;;;
6096802;12,48;0,00;1031;;;
6097120;0,00;0,00;1031;;;
6142652;4,55;0,00;1031;;;
6279009;2,29;0,00;1031;;;
6571759;1,99;0,00;1031;;;
6715297;2,29;0,00;1031;;;
6903649;0,79;0,00;1031;;;
6946499;1,75;0,00;1031;;;
99005731;0,99;0,00;1031;;;
6284250;2,50;0,00;1031;;;
6288426;2,50;0,00;1031;;;
2184108;2,50;0,00;1031;;;
630004;2,50;0,00;1031;;;
1599022;2,50;0,00;1031;;;
314365;2,50;0,00;1031;;;
2397640;2,50;0,00;1031;;;
2397681;2,50;0,00;1031;;;
9423;2,50;0,00;1031;;;
18510;2,50;0,00;1031;;;
17530;2,50;0,00;1031;;;
175308;2,50;0,00;1031;;;
